,Rating,Type,Size,Reviews,Installs
0,4.1,Free,19,159,"10,000+"
1,3.9,Free,14,967,"500,000+"
2,4.7,Free,8.7,87510,"5,000,000+"
3,4.5,Free,25,215644,"50,000,000+"
4,4.3,Free,2.8,967,"100,000+"
5,4.4,Free,5.6,167,"50,000+"
6,3.8,Free,19,178,"50,000+"
7,4.1,Free,29,36815,"1,000,000+"
8,4.4,Free,33,13791,"1,000,000+"
9,4.7,Free,3.1,121,"10,000+"
10,4.4,Free,28,13880,"1,000,000+"
11,4.4,Free,12,8788,"1,000,000+"
12,4.2,Free,20,44829,"10,000,000+"
13,4.6,Free,21,4326,"100,000+"
14,4.4,Free,37,1518,"100,000+"
15,3.2,Free,2.7,55,"5,000+"
16,4.7,Free,5.5,3632,"500,000+"
17,4.5,Free,17,27,"10,000+"
18,4.3,Free,39,194216,"5,000,000+"
19,4.6,Free,31,224399,"10,000,000+"
20,4.0,Free,14,450,"100,000+"
21,4.1,Free,12,654,"100,000+"
22,4.7,Free,4.2,7699,"500,000+"
23,4.7,Free,23,118,"50,000+"
24,4.8,Free,6.0,192,"10,000+"
25,4.7,Free,25,20260,"500,000+"
26,4.1,Free,6.1,203,"100,000+"
27,3.9,Free,4.6,136,"10,000+"
28,4.1,Free,4.2,223,"100,000+"
29,4.2,Free,9.2,1120,"100,000+"
30,4.1,Free,5.2,227,"50,000+"
31,4.5,Free,11,5035,"100,000+"
32,4.2,Free,11,1015,"100,000+"
33,4.7,Free,4.2,353,"10,000+"
34,3.8,Free,9.2,564,"100,000+"
35,4.7,Free,24,8145,"500,000+"
36,4.1,Free,Varies with devic,36639,"5,000,000+"
37,4.7,Free,11,158,"10,000+"
38,4.0,Free,9.4,591,"500,000+"
39,4.2,Free,15,117,"10,000+"
40,4.5,Free,10,176,"100,000+"
41,4.4,Free,Varies with devic,295221,"10,000,000+"
42,3.8,Free,1.2,2206,"100,000+"
43,4.2,Free,12,26,"10,000+"
44,4.7,Free,24,174531,"10,000,000+"
45,4.6,Free,26,1070,"100,000+"
46,4.2,Free,8.0,85,"100,000+"
47,4.3,Free,7.9,845,"100,000+"
48,4.2,Free,25,367,"100,000+"
49,4.0,Free,56,1598,"1,000,000+"
50,3.8,Free,57,284,"100,000+"
51,4.6,Free,Varies with devic,17057,"1,000,000+"
52,3.9,Free,35,129,"100,000+"
53,4.3,Free,33,542,"100,000+"
54,4.9,Free,33,10479,"100,000+"
55,4.4,Free,5.6,805,"50,000+"
56,4.2,Free,54,129,"100,000+"
57,4.0,Free,201,1403,"100,000+"
58,3.9,Free,3.6,3971,"100,000+"
59,4.6,Free,5.7,534,"10,000+"
60,4.9,Free,17,7774,"100,000+"
61,4.3,Free,8.6,38846,"1,000,000+"
62,4.6,Free,2.4,2431,"100,000+"
63,4.9,Free,27,6090,"100,000+"
64,3.9,Free,2.7,295,"10,000+"
65,4.0,Free,2.5,190,"50,000+"
66,4.3,Free,Varies with devic,40211,"5,000,000+"
67,3.9,Free,Varies with devic,356,"100,000+"
68,4.2,Free,7.0,52530,"5,000,000+"
69,4.8,Free,35,116986,"5,000,000+"
70,3.6,Free,16,1379,"500,000+"
71,4.2,Free,16,271920,"10,000,000+"
72,4.8,Free,Varies with devic,736,"100,000+"
73,4.8,Free,17,7021,"500,000+"
74,4.6,Free,3.4,197,"50,000+"
75,4.5,Free,8.9,737,"100,000+"
76,4.3,Free,3.9,3574,"1,000,000+"
77,4.5,Free,2.9,994,"100,000+"
78,4.9,Free,38,197136,"1,000,000+"
79,3.9,Free,32,142,"50,000+"
80,4.4,Free,37,15168,"1,000,000+"
81,4.0,Free,15,2155,"500,000+"
82,4.3,Free,5.4,138,"100,000+"
83,3.7,Free,18,5414,"1,000,000+"
84,4.4,Free,Varies with devic,21777,"1,000,000+"
85,4.3,Free,38,348,"100,000+"
86,3.2,Free,1.1,250,"100,000+"
87,4.6,Free,Varies with devic,13372,"1,000,000+"
88,4.6,Free,Varies with devic,7880,"100,000+"
89,4.5,Free,7.9,3617,"100,000+"
90,3.7,Free,35,4806,"1,000,000+"
91,4.6,Free,Varies with devic,65786,"1,000,000+"
92,4.6,Free,17,31433,"1,000,000+"
93,4.6,Free,19,5097,"1,000,000+"
94,4.0,Free,14,1754,"500,000+"
95,4.4,Free,2.2,2680,"500,000+"
96,4.0,Free,4.5,1288,"100,000+"
97,4.7,Free,17,18900,"500,000+"
98,4.9,Free,14,49790,"1,000,000+"
99,4.7,Free,9.8,1150,"100,000+"
100,3.9,Free,21,1739,"500,000+"
101,3.9,Free,Varies with devic,32090,"1,000,000+"
102,4.2,Free,52,2225,"500,000+"
103,4.6,Free,14,4369,"100,000+"
104,4.3,Free,25,8572,"1,000,000+"
105,4.7,Free,9.0,964,"50,000+"
106,4.7,Free,Varies with devic,42050,"1,000,000+"
107,4.8,Free,12,104,"10,000+"
108,4.2,Free,Varies with devic,17934,"1,000,000+"
109,4.3,Free,35,601,"100,000+"
110,4.5,Free,6.7,36,"10,000+"
111,4.1,Free,30,187,"50,000+"
112,4.2,Free,2.9,30,"10,000+"
113,4.5,Free,17,134,"10,000+"
114,4.4,Free,2.9,74,"10,000+"
115,4.0,Free,Varies with devic,113715,"10,000,000+"
116,4.1,Free,Varies with devic,3595,"500,000+"
117,4.1,Free,2.6,9315,"1,000,000+"
118,4.4,Free,4.2,75,"50,000+"
119,4.6,Free,7.1,38,"10,000+"
120,4.5,Free,57,26834,"1,000,000+"
121,3.9,Free,22,2277,"500,000+"
122,4.4,Free,24,2280,"500,000+"
123,4.6,Free,21,184,"10,000+"
124,3.8,Free,3.4,9,"5,000+"
125,4.0,Free,6.4,364,"100,000+"
126,4.3,Free,3.2,18,"5,000+"
127,4.5,Free,8.2,473,"100,000+"
128,4.1,Free,2.9,66,"10,000+"
129,3.7,Free,23,3871,"1,000,000+"
130,4.7,Free,4.6,257,"50,000+"
131,4.2,Free,3.1,62,"10,000+"
132,4.6,Free,Varies with devic,2914724,"100,000,000+"
133,4.5,Free,4.9,1857,"50,000+"
134,4.6,Free,9.5,4478,"100,000+"
135,4.4,Free,Varies with devic,577550,"10,000,000+"
136,4.2,Free,Varies with devic,814080,"100,000,000+"
137,4.5,Free,Varies with devic,246315,"10,000,000+"
138,4.5,Free,Varies with devic,454060,"10,000,000+"
139,4.5,Free,Varies with devic,155446,"10,000,000+"
140,4.5,Free,4.2,418,"100,000+"
141,4.4,Free,5.4,22486,"1,000,000+"
142,4.5,Free,Varies with devic,203130,"10,000,000+"
143,4.6,Free,2.8,1435,"500,000+"
144,4.8,Free,5.0,116507,"1,000,000+"
145,3.9,Free,Varies with devic,1433233,"1,000,000,000+"
146,4.6,Free,5.9,90468,"5,000,000+"
147,4.2,Free,13,860,"100,000+"
148,4.1,Free,7.1,363934,"10,000,000+"
149,4.7,Free,6.7,967,"500,000+"
150,4.2,Free,Varies with devic,87873,"10,000,000+"
151,4.3,Free,17,17506,"1,000,000+"
152,3.3,Free,19,1862,"1,000,000+"
153,4.6,Free,6.7,2084,"500,000+"
154,4.8,Free,21,47303,"1,000,000+"
155,4.7,Free,Varies with devic,19080,"500,000+"
156,4.1,Free,37,85842,"5,000,000+"
157,4.6,Free,15,7831,"100,000+"
158,4.1,Free,23,91615,"5,000,000+"
159,4.6,Free,19,4620,"500,000+"
160,4.7,Free,23,21336,"1,000,000+"
161,4.5,Free,73,26875,"500,000+"
162,3.9,Free,4.9,1778,"500,000+"
163,4.4,Free,6.8,2709,"1,000,000+"
164,4.3,Free,Varies with devic,64513,"5,000,000+"
165,4.2,Free,Varies with devic,8342,"10,000,000+"
166,4.5,Free,2.9,527,"100,000+"
167,4.4,Free,3.5,1322,"100,000+"
168,3.4,Free,4.0,1680,"100,000+"
169,4.9,Free,21,2739,"50,000+"
170,4.6,Free,2.3,1065,"500,000+"
171,4.4,Free,Varies with devic,233757,"10,000,000+"
172,4.4,Free,10,8788,"1,000,000+"
